die Arbeit, -en|work, job
das Bild, die Bilder|picture
das Ende, -n|end
der Euro, -/-s|Euro
die Frage, -n|question
die Frau, -en|woman
das Haus, die Häuser|house
das Kind, die Kinder|child
das Land, die Länder|country, land
das Leben, -|life, living
der Mann, die Männer|man
die Mark|Mark (former currency)
der Mensch, -en|person, human
die Million, -en (Mio.)|million
der Platz, die Plätze|place, seat, spot, square
der Samstag, -e|Saturday
die Seite, -n|page, side
das Spiel, -e|game
die Stadt, die Städte|city
der Tag, -e|day
der / das Teil, -e|part, section
die Woche, -n|week
seit|since
ab|from (time)
ohne|without
wegen|because of
wer|who, whoever
wo|where
ihm|him
uns|us
unser(-)|our
mein(-)|my
denn|because, since (coordinating), as flavor word, denn can add emphasis
weil|because (subordinating)
sondern|rather
bleiben, blieb, ist geblieben|to stay, remain
liegen, lag, gelegen|to be in a horizontal position, lying, to lie, to be located
stellen, stellte, gestellt|to put, place, set
nehmen (nimmt), nahm, genommen|to take
zeigen, zeigte, gezeigt|to show
dürfen (darf), durfte, gedurft|to be allowed, permitted
halten (hält), hielt, gehalten|to keep, hold, stop
spielen, spielte, gespielt|to play
bringen, brachte, gebracht|to bring
führen, führte, geführt|to lead
gehören, gehörte, gehört|to belong
beginnen, begann, begonnen|to begin
erhalten (erhält), erhielt, erhalten|to obtain, receive
heißen, hieß, geheißen|to be called
selbst|even, self, myself, yourself, etc.
nichts|nothing
gestern|yesterday
heute|today
hier|here
bereits|already, even, as early as
jetzt|now
sehr|very
allerdings|certainly, however
alt|old
beide|both
dabei|thereby, with it, close by, there
dafür|for it
damit|with it, so, so that
dazu|to it, as well, in addition to that
dort|there, over there
eigen|own
einige-|several, some
einmal|once, one time
erst|first, just, only, not until
etwa|roughly, approximately
ganz|quite, entire, whole / wholly
hoch, hoh-|high
ja|yes, indeed, as we know
jedoch|though, however
jung|young
klein|small, little
kurz|short
lang, lange|long
letzte-|last, final
nun|now, well
sowie|and, as well as, as soon as,
stark|strong
wenig|little, few
wichtig|important
zwar|indeed, to be sure, that is to say
zweite-, zu zweit|second, as a pair
Nehmen Sie bitte Platz!|Please be seated.
am Samstag / samstags|(on) Saturday(s)
ab jetzt|as of now, from now on
ohne Limone|without lime
ohne ein Wort zu sagen|without saying a word
ohne, dass ich es wusste|without me knowing it
wegen des Regens / wegen dem Regen|because of the rain
Wer ist das?|Who's that?
Wo waren wir?|Where were we?
Seht ihr uns?|Do y'all see us?
Unsere Katze heißt Killer.|Our cat's name is killer.
Was ist denn los?|So, what's wrong?
nicht hier, sondern dort|not here, but rather there
Bleib da!|Stay there!
Wo liegt Stuttgart?|Where is Stuttgart located?
wie du bereits weißt|as you already know
Ich bin dabei.|I'm in. Count me in.
Raus damit!|Out with it!
Wir sind hier, damit wir etwas lernen können.|We are here so that we can learn something.
dein eigenes Haus|your own house
einige Häuser|several houses
vor einiger Zeit|some time ago
das erste Mal|the first time
jetzt erst|only now
erst später|not until later
1000 Meter hoch|1000 Meters high
ein hoher Berg|a tall mountain
Hohes C|High C
Deutsch ist ja toll.|German is great, as we all know.
ein kleines Kind|a little child
Nun?|Well?
in Deutschland sowie in Österreich|in Germany as well as in Austria
Der Kaffee ist zu stark.|The coffee is too strong.
wenig Geld|a little money
enorm wichtig|enormously important
Ich habe Hunger und zwar sehr.|I'm hungry, very hungry actually.
die zweite Tür|the second door
Wir sind zu zweit.|There are 2 of us.
