Guten Abend!|Good evening!
Der Verbrecher machte falsche Angaben.|The criminal made false statements.
Tierart|species, type of animal
nach spanischer Art|Spanish style
auf diese Art und Weise|in this way
Musik ab!|Hit it!
Ich finde keine Worte.|I'm at a loss for words.
in seinen eigenen Worten|in his own words
Der Aufsatz soll mindestens 500 Wörter umfassen.|The essay should contain least 500 words.
in Zukunft|in the future
in naher Zukunft|in the near future
Es gab Limo und außerdem noch Saft.|There was soda and also juice.
Er ist auf seine Brille getreten.|He stepped on his glasses.
Er hat den Ball getreten.|He kicked the ball.
Schönes Wochenende! - Ebenfalls!|Have a nice weekend! - Same to you!
Kennst du den Film Kevin allein zu Hause?|Do you know the movie Home Alone?
damals und heute|then and now
Er war derzeit der beste Radfahrer der Welt.|He was at that time the best cyclist in the world.
Kein Wort darüber!|Mum's the word!
gerade deshalb|for this very reason
Nachdem es geregnet hatte, war alles nass.|After it had rained, everything was wet.
Nie im Leben!|Never in a million years!
die öffentliche Meinung|public opinion
pro Person|per Person
Es war kalt und regnete zudem.|It was cold and on top of it, it rained.
Wir sind zu dritt.|There are 3 of us.
Hallo zusammen!|Hi everybody!
Er ist zurück.|He's back.
Sie sind wieder zusammen.|They are back together again.
Der dritte Mann ist ein toller Film.|The Third Man is a great film.
das einzig Gute daran|the one good thing about it
ganz genau|to a T
ganz knapp|by a hair's breadth
Das war knapp.|That was close.
Geld ist knapp.|Money is tight.
knapp an Personal|short-staffed
in den kommenden Jahren|in the next years
Leicht gesagt.|Easier said (than done).
Seine Töchter sind verschieden wie Tag und Nacht.|His two daughters are as different as night and day.
Das ist von Fall zu Fall verschieden.|It varies / differs from case to case.
voll krass|totally awesome
Mach weiter so!|Keep it up!
wollene Handschuhe|woolen gloves
voll qualifiziert|fully qualified
der Abend,-e|evening
der Anfang, die Anfänge|start
die Angabe, -n|statement, declaration
die Art, -en|type, kind
das Auto, -s|car
die Band, -s|band (music)
der Band, die Bände|volume, tome
das Band, die Bänder|ribbon, strap, cord
der Bereich, -e|area, region, scope
das Buch, die Bücher|book
die Chance, -n|chance
der Erfolg, -e|success, achievement
das Ergebnis, die Ergebnisse|result, findings, outcome
das Gespräch, -e|conversation, dialog
die Hand, die Hände|hand
die Information, -en|information
das Jahrhundert, -e|century
der Kreis, -e|circle, sphere, county, district
die Musik|music
die Partei, -en|political party
der Preis, -e|price, prize, award
das Programm, -e|program, channel, routine
das Projekt, -e|project
die Regierung, -en|government
die Region, -en|region
die Saison, -s (österr: -en)|season
der Sieg, -e|victory, win, triumph
der Staat, -en|state, country, nation
der Titel, -|title, heading
das Tor, -e|gate, goal, portal
das Werk, -e|plant, factory, work of art, opus
das Wort, die Worte|word, words—when strung together, words = meaning
das Wort, die Wörter|word, words--when referring to word units, word counts
die Zahl, en|number, digit, numeral
die Zukunft|future
brauchen, brauchte, gebraucht|to need
denken, dachte, gedacht|to think
entscheiden, entschied, entschieden|to decide
entstehen, entstand, ist entstanden|to originate, develop
erscheinen, erschien, ist erschienen|to appear, to show up, come into view
erwarten, erwartete, erwartet|to expect, await
fahren (fährt), fuhr, ist gefahren|to drive, ride, go
fallen (fällt), fiel, ist gefallen|to fall
fehlen, fehlte, gefehlt|to be lacking, missing
feiern, feierte, gefeiert|to celebrate
laufen (läuft), lief, ist gelaufen|to run, walk
legen, legte, gelegt|to lay, put, place
planen, plante, geplant|to plan
scheinen, schien, geschienen|to seem, appear, shine
sorgen, sorgte, gesorgt|to worry, to care
suchen, suchte, gesucht|to seek, look for, look up
tragen (trägt), trug, getragen|to carry, to wear
treten (tritt), trat, ist / hat getreten|to kick, step, tread
übernehmen (übernimmt), übernahm, übernommen|to assume (responsibility), take on, take over
verlieren, verlor, verloren|to lose
versuchen, versuchte, versucht|to try, attempt
außerdem|besides, furthermore, moreover, on top of this, what's more
ebenfalls|likewise, same to you
allein|alone
damals|back then, at that time
darüber|overhead, thereover, about or above it / them
derzeit|currently, at present, for now
deshalb|therefore, that's why
insgesamt|altogether, overall, in all
kaum|hardly
nachdem|after
nie|never
öffentlich|public
oft|often
pro|per
schließlich|in the end, finally
vielleicht|perhaps, maybe
zudem|in addition, moreover
zunächst|first, at first, for now
zurück|back
zusammen|together, en masse
der Herr, -n, -en|Mr., sir, gentleman, lord, Lord
die Leute (pl)|people
die Mitarbeiterin, -nen|female coworker, employee
der Mitarbeiter, -|male coworker, employee
die Person, -en|person
die Schülerin, -nen|female pupil
der Schüler, -|male pupil
der Trainer, -|coach
der / die Vorsitzende, -n|chairperson
zu dritt|in a threesome, trimerous
dritte(r,s)|third
ehemalig|former(ly), ex
einzig|sole, only, single
europäisch|European
genau|exact(ly)
knapp|barely, meager, scant(ly)
kommend|(up)coming, future
leicht|easy, light, airy
mehrere|several
natürlich|natural(ly)
offen|open, frank, honest
sicher|safe, secure, certain
verschieden|different, diverse
voll|full(y)
weiter / weiter- / und so weiter (usw.)|further / additional / and so on (etc.)
wollen|woolen, wooly
